"order_id","product_id","discount"
1,20,0.2
1,8,0.07
1,10,0.05
1,16,0.05
1,4,0.2
2,20,0.07
2,16,0.05
3,3,0.05
3,20,0.05
4,2,0.1
5,10,0.05
5,17,0.07
5,26,0.07
6,18,0.07
6,12,0.05
6,20,0.1
6,3,0.07
6,9,0.07
7,15,0.07
7,3,0.1
7,17,0.1
8,22,0.05
8,20,0.07
9,7,0.1
10,14,0.1
11,8,0.05
11,22,0.1
11,16,0.2
12,4,0.1
12,11,0.05
13,13,0.1
13,17,0.05
13,20,0.1
13,16,0.05
14,6,0.07
15,12,0.07
15,8,0.07
15,18,0.05
15,23,0.2
16,8,0.2
16,21,0.05
16,13,0.07
16,14,0.07
17,8,0.07
17,23,0.1
17,5,0.1
17,20,0.2
18,2,0.2
18,22,0.05
18,7,0.1
18,25,0.05
18,9,0.1
19,10,0.07
19,9,0.2
20,9,0.07
20,10,0.07
21,14,0.05
21,17,0.1
21,10,0.07
22,15,0.2
22,22,0.05
23,4,0.05
23,23,0.1
23,13,0.2
24,3,0.1
24,18,0.07
25,23,0.2
25,10,0.2
25,22,0.2
25,14,0.2
25,21,0.1
26,7,0.05
26,2,0.2
26,12,0.2
26,21,0.07
27,5,0.2
27,19,0.2
27,26,0.07
27,8,0.07
28,5,0.05
28,7,0.2
28,14,0.1
28,6,0.05
29,24,0.05
29,6,0.2
29,21,0.1
29,8,0.2
29,14,0.05
30,26,0.05
30,17,0.07
30,19,0.1
30,4,0.1
30,7,0.1
31,11,0.05
31,9,0.2
32,8,0.07
32,12,0.07
32,25,0.1
33,23,0.07
33,7,0.1
34,8,0.07
34,10,0.1
34,17,0.2
35,18,0.05
35,20,0.05
35,5,0.2
35,21,0.07
35,22,0.07
36,9,0.07
36,5,0.05
36,3,0.2
37,16,0.05
38,7,0.05
38,23,0.07
38,25,0.2
38,10,0.1
38,24,0.07
39,22,0.2
39,16,0.2
39,3,0.05
39,15,0.1
40,17,0.2
40,8,0.2
41,5,0.1
41,19,0.2
41,26,0.2
42,19,0.05
43,13,0.1
43,12,0.05
44,7,0.1
44,16,0.05
45,4,0.2
45,22,0.07
45,21,0.05
46,17,0.1
47,6,0.05
47,15,0.1
47,25,0.07
47,13,0.2
48,11,0.1
48,4,0.2
48,5,0.1
48,14,0.07
49,13,0.07
50,3,0.05
50,26,0.07
50,13,0.2
51,13,0.05
51,20,0.05
51,26,0.2
52,25,0.07
53,8,0.2
53,23,0.05
53,14,0.2
53,25,0.1
54,26,0.2
54,3,0.2
55,21,0.05
55,25,0.2
55,15,0.2
56,20,0.07
57,23,0.1
57,19,0.2
57,13,0.07
58,14,0.05
58,18,0.07
58,23,0.1
59,21,0.05
59,2,0.1
59,17,0.1
60,14,0.05
60,4,0.1
60,15,0.07
60,22,0.2
61,25,0.1
61,15,0.05
61,5,0.2
62,14,0.07
62,8,0.1
62,22,0.1
63,25,0.1
63,19,0.05
63,3,0.1
64,25,0.1
64,22,0.2
64,23,0.2
64,24,0.1
65,12,0.1
66,2,0.2
66,23,0.07
66,12,0.07
67,23,0.2
67,12,0.1
67,21,0.2
67,5,0.1
67,19,0.2
68,13,0.07
68,17,0.1
69,22,0.1
69,5,0.2
69,10,0.05
70,3,0.05
70,18,0.2
70,20,0.05
71,26,0.05
71,24,0.2
71,18,0.1
72,17,0.07
72,12,0.05
72,13,0.1
73,22,0.07
73,26,0.05
73,3,0.07
73,25,0.07
73,23,0.2
74,16,0.05
74,6,0.07
75,3,0.1
75,7,0.07
75,15,0.2
76,12,0.05
76,11,0.1
76,5,0.07
77,20,0.07
77,24,0.1
77,26,0.2
77,25,0.2
78,17,0.07
78,19,0.2
78,18,0.1
78,14,0.1
79,9,0.1
79,17,0.05
79,6,0.1
79,25,0.07
80,26,0.1
80,24,0.1
80,17,0.2
81,10,0.2
81,23,0.05
81,25,0.05
82,25,0.1
82,11,0.2
83,20,0.2
83,3,0.05
84,23,0.07
84,15,0.07
85,4,0.05
85,18,0.07
86,9,0.1
86,23,0.07
86,21,0.2
86,15,0.1
87,20,0.2
87,23,0.1
88,10,0.07
88,8,0.1
88,7,0.1
89,5,0.05
89,6,0.1
90,3,0.1
90,6,0.07
91,11,0.1
91,25,0.05
91,15,0.07
91,13,0.07
92,8,0.1
93,22,0.07
93,17,0.05
93,21,0.1
93,2,0.2
93,10,0.07
94,12,0.05
94,4,0.2
94,11,0.2
94,21,0.07
95,10,0.2
95,19,0.1
95,8,0.2
95,20,0.05
96,26,0.1
96,23,0.05
97,20,0.2
97,2,0.07
97,6,0.2
97,19,0.1
98,19,0.07
98,21,0.1
98,2,0.2
98,22,0.2
99,13,0.2
99,21,0.2
99,25,0.05
99,7,0.07
99,23,0.2
100,12,0.05
100,11,0.1
100,7,0.2
100,16,0.2
100,24,0.1
101,12,0.2
102,15,0.05
102,22,0.07
103,17,0.07
103,3,0.05
103,18,0.2
103,15,0.1
103,9,0.1
104,19,0.1
104,26,0.05
105,11,0.2
105,3,0.05
105,9,0.05
106,17,0.1
106,13,0.1
107,19,0.2
107,13,0.1
108,11,0.1
108,22,0.07
108,16,0.05
109,22,0.1
109,6,0.07
110,14,0.1
111,14,0.1
111,12,0.07
112,23,0.2
112,25,0.07
112,24,0.05
112,5,0.2
113,12,0.07
113,24,0.1
113,6,0.07
113,23,0.2
113,5,0.2
114,12,0.05
114,2,0.07
114,13,0.1
115,22,0.2
115,19,0.1
116,26,0.05
117,22,0.2
117,26,0.05
117,14,0.2
117,19,0.05
118,18,0.07
118,4,0.07
118,6,0.07
118,3,0.1
118,23,0.07
119,25,0.05
120,13,0.05
120,6,0.05
120,10,0.05
120,17,0.05
120,16,0.2
121,5,0.2
121,14,0.1
121,4,0.1
121,24,0.07
121,2,0.05
122,16,0.1
123,12,0.1
124,16,0.05
124,4,0.07
124,7,0.05
125,17,0.1
126,9,0.05
127,17,0.07
127,20,0.1
127,4,0.07
128,24,0.1
128,16,0.1
128,4,0.2
128,3,0.2
129,18,0.1
129,9,0.1
130,26,0.05
130,5,0.07
131,22,0.2
131,4,0.07
131,24,0.1
132,2,0.05
132,20,0.05
132,9,0.1
133,13,0.05
133,22,0.2
134,19,0.1
134,2,0.07
134,18,0.07
135,5,0.05
135,18,0.05
135,25,0.2
135,2,0.05
136,7,0.2
136,3,0.05
137,23,0.07
137,22,0.1
138,16,0.1
138,6,0.2
139,19,0.07
139,3,0.07
140,15,0.2
140,21,0.2
140,12,0.2
140,3,0.05
141,18,0.2
142,16,0.1
142,11,0.1
142,19,0.07
143,6,0.2
144,8,0.05
145,11,0.2
145,9,0.1
146,3,0.2
146,12,0.1
146,20,0.1
146,6,0.05
146,2,0.07
147,26,0.2
148,14,0.05
149,12,0.07
149,21,0.07
150,7,0.1
150,3,0.2
150,17,0.07
150,25,0.07
151,17,0.1
151,26,0.1
152,6,0.2
152,22,0.2
152,16,0.07
153,16,0.07
153,8,0.07
153,15,0.05
154,12,0.1
155,8,0.1
156,18,0.2
156,17,0.05
156,6,0.07
157,4,0.1
157,7,0.07
158,24,0.1
159,13,0.2
160,21,0.07
160,15,0.07
160,18,0.1
160,11,0.05
161,24,0.07
161,22,0.05
161,7,0.05
162,18,0.07
162,21,0.07
162,3,0.1
163,12,0.1
163,18,0.2
164,4,0.05
164,10,0.05
164,14,0.1
165,4,0.05
165,23,0.2
165,2,0.05
166,10,0.1
166,11,0.2
167,12,0.05
167,10,0.2
167,13,0.05
167,7,0.05
168,6,0.1
168,11,0.07
168,12,0.07
168,22,0.2
169,20,0.1
169,5,0.05
169,10,0.2
169,11,0.2
169,14,0.05
170,12,0.1
170,24,0.05
170,7,0.2
170,18,0.05
171,8,0.05
172,23,0.07
172,16,0.2
173,14,0.05
173,16,0.2
173,20,0.05
174,22,0.2
174,19,0.1
175,5,0.1
175,2,0.2
175,21,0.1
175,19,0.07
176,2,0.07
176,11,0.2
176,16,0.05
177,20,0.1
178,10,0.2
178,12,0.05
178,3,0.1
178,18,0.07
179,13,0.05
179,26,0.1
179,18,0.2
179,12,0.2
179,20,0.1
180,16,0.07
181,10,0.05
181,11,0.1
181,15,0.2
181,24,0.05
182,25,0.05
182,24,0.07
183,11,0.2
183,12,0.05
183,19,0.07
183,17,0.07
184,4,0.2
184,5,0.1
184,14,0.1
185,20,0.1
185,8,0.05
186,4,0.1
186,6,0.1
187,5,0.05
188,7,0.07
189,16,0.2
190,24,0.05
190,15,0.2
190,3,0.2
191,25,0.05
191,12,0.2
191,3,0.07
191,8,0.05
191,23,0.05
192,8,0.1
192,25,0.07
192,2,0.05
192,24,0.07
192,10,0.2
193,12,0.1
194,21,0.2
195,18,0.2
195,14,0.05
195,5,0.2
195,4,0.2
195,21,0.1
196,6,0.05
196,3,0.07
196,10,0.07
196,12,0.07
196,20,0.1
197,4,0.2
197,2,0.07
198,6,0.05
198,20,0.07
198,8,0.2
198,13,0.05
198,17,0.05
199,25,0.05
199,18,0.07
199,4,0.2
200,23,0.05
200,22,0.07
201,24,0.05
201,7,0.2
201,14,0.1
201,17,0.05
202,8,0.07
202,17,0.05
202,15,0.05
202,25,0.05
203,26,0.05
203,3,0.1
203,17,0.2
203,19,0.07
204,6,0.07
204,17,0.1
205,22,0.05
205,24,0.1
206,25,0.05
206,20,0.2
207,12,0.2
207,5,0.05
207,11,0.07
207,7,0.1
208,6,0.05
208,4,0.07
208,3,0.05
208,12,0.2
208,10,0.05
209,13,0.1
210,14,0.07
210,13,0.2
211,10,0.07
211,2,0.07
212,16,0.07
212,12,0.2
212,19,0.1
212,7,0.2
213,13,0.1
214,21,0.1
215,19,0.07
215,12,0.1
216,22,0.1
216,16,0.05
217,18,0.1
217,10,0.1
217,17,0.07
218,2,0.1
218,13,0.07
218,12,0.05
219,26,0.05
219,5,0.2
220,6,0.05
220,25,0.07
220,22,0.1
220,3,0.2
221,11,0.07
222,10,0.1
222,2,0.1
223,7,0.05
223,5,0.2
223,21,0.1
223,20,0.05
223,15,0.05
224,6,0.07
224,11,0.1
224,10,0.2
224,25,0.05
225,21,0.1
225,9,0.1
226,2,0.05
227,3,0.05
227,15,0.1
228,25,0.2
228,2,0.07
228,23,0.1
228,4,0.2
228,22,0.05
229,25,0.2
229,5,0.1
229,8,0.2
230,11,0.07
231,8,0.07
231,14,0.2
231,5,0.2
232,18,0.07
232,11,0.05
232,26,0.07
232,8,0.1
233,14,0.1
233,16,0.1
233,12,0.2
233,15,0.07
234,11,0.2
234,17,0.05
234,12,0.1
234,7,0.05
234,23,0.1
235,6,0.07
235,13,0.05
235,7,0.05
236,3,0.07
236,2,0.1
236,4,0.1
237,15,0.2
237,24,0.07
237,20,0.2
237,26,0.05
238,20,0.2
238,25,0.07
238,13,0.2
238,22,0.05
238,7,0.07
239,16,0.1
239,21,0.05
239,18,0.07
239,4,0.07
240,9,0.07
240,8,0.07
240,5,0.07
240,18,0.07
241,7,0.2
242,3,0.2
243,25,0.05
243,19,0.07
243,7,0.05
244,19,0.07
244,25,0.2
244,22,0.1
245,10,0.05
245,8,0.1
246,17,0.2
247,25,0.07
247,3,0.2
248,13,0.1
248,26,0.1
248,17,0.1
248,9,0.2
249,7,0.05
249,18,0.05
249,22,0.1
250,17,0.05
250,11,0.1
251,23,0.2
251,22,0.05
252,11,0.1
252,4,0.07
252,19,0.1
253,11,0.07
254,6,0.07
254,3,0.05
254,12,0.05
255,5,0.1
255,14,0.2
255,2,0.2
255,21,0.07
256,11,0.1
256,21,0.05
257,8,0.07
257,13,0.2
257,10,0.1
257,15,0.1
258,8,0.05
258,4,0.07
258,19,0.07
258,18,0.05
259,26,0.05
259,6,0.1
259,2,0.2
259,4,0.1
260,23,0.2
260,10,0.2
260,24,0.2
261,16,0.05
261,14,0.1
261,17,0.1
262,2,0.07
262,9,0.05
263,9,0.07
263,3,0.2
263,2,0.05
264,10,0.2
264,24,0.05
264,15,0.1
264,3,0.07
265,9,0.2
266,6,0.07
266,19,0.2
266,25,0.05
267,22,0.2
267,23,0.1
267,24,0.1
267,7,0.07
267,21,0.05
268,7,0.05
268,6,0.2
268,9,0.1
269,5,0.07
269,23,0.07
269,18,0.05
269,3,0.05
270,25,0.2
270,15,0.1
271,11,0.07
271,6,0.05
271,13,0.1
271,7,0.1
272,2,0.07
272,11,0.07
273,21,0.1
274,11,0.05
274,25,0.1
274,9,0.07
275,18,0.05
275,25,0.1
275,7,0.05
276,3,0.2
276,17,0.05
276,9,0.07
277,20,0.2
277,6,0.2
277,13,0.1
278,16,0.2
278,19,0.07
278,13,0.07
278,11,0.07
279,25,0.07
280,25,0.07
280,26,0.07
280,13,0.07
281,22,0.07
281,14,0.1
281,7,0.07
282,20,0.07
282,7,0.07
282,3,0.05
282,16,0.07
283,9,0.05
283,16,0.2
284,24,0.2
284,20,0.2
285,16,0.05
285,12,0.05
285,2,0.1
286,26,0.2
286,21,0.07
286,16,0.1
286,7,0.1
287,5,0.2
287,10,0.05
287,2,0.05
287,20,0.05
288,4,0.2
288,10,0.1
288,7,0.05
289,13,0.07
289,24,0.2
289,17,0.2
290,2,0.07
290,5,0.07
290,21,0.1
291,6,0.05
291,21,0.07
292,18,0.1
